                                               queryItem  queryIndex             stringId  ncbiTaxonId    taxonName    preferredName                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              annotation Uniprot accession                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Biological Processes                                                                                                                                                                                                                                                                                                    Evidences
                                     elongation factor 2           0 4530.OS02T0519900-01         4530 Oryza sativa        OsJ_06933                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Elongation factor 2; Os02g0519900 protein; Putative elongation factor 2            Q6H4L2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [translational elongation]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                            Os10g0505900          16 4530.OS10T0505900-01         4530 Oryza sativa  OS10T0505900-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Expressed protein; Os10g0505900 protein            Q337E2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                   alcohol dehydrogenase          17 4530.OS03T0810800-01         4530 Oryza sativa        OsJ_13064                                                                                                                                                                                                                                                                                                                                                 Sex determination protein tasselseed 2, putative, expressed; Os03g0810800 protein; Putative alcohol dehydrogenase; Putative short chain alcohol dehydrogenase; Sex determination protein tasselseed 2, putative, expressed; cDNA clone:J023042C15, full insert sequence            Q7XZH5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [abscisic acid biosynthetic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
succinate dehydrogenase (ubiquinone)flavoprotein subunit          18 4530.OS07T0134800-01         4530 Oryza sativa             SDH1                                                                                                                                                                                                                                                                                                               Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial; Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)            Q6ZDY8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [mitochondrial electron transport, succinate to ubiquinone]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                              2-isopropylmalate synthase          22 4530.OS11T0142500-00         4530 Oryza sativa        OsJ_32925                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       2-isopropylmalate synthase B, putative, expressed               NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0214000          23 4530.OS03T0214000-01         4530 Oryza sativa  OS03T0214000-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Purple acid phosphatase; Diphosphonucleotide phosphatase 1, putative, expressed; Os03g0214000 protein; cDNA clone:J033076O10, full insert sequence            Q10Q09                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                             asparaginyl-tRNA synthetase          24 4530.OS07T0485400-01         4530 Oryza sativa  OS07T0485400-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Os07g0485400 protein; Putative asparaginyl-tRNA synthetase, chloroplast/mitochondrial        A0A0P0X6F8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                  pyruvate decarboxylase          26 4530.OS01T0160100-01         4530 Oryza sativa        OsJ_00466                                                                                                                                                                                                                                                                                                                                                                                                                                                  Os01g0160100 protein; Putative pyruvate decarboxylase; Similar to Zea mays mRNA for pyruvate decarboxylase; Uncharacterized protein ; Belongs to the TPP enzyme family            Q9LGL5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                        heat shock 70kDa          27 4530.OS01T0840100-01         4530 Oryza sativa        OsJ_04024                                                                                                                                                                                                                                                                                                                                                                                                        cDNA, clone: J100050G20, full insert sequence; 70 kDa heat shock protein; 70kDa heat shock protein; Os01g0840100 protein; Putative HSP70; Uncharacterized protein; cDNA, clone: J100050G20, full insert sequence            Q943K7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, protein refolding]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                            Os02g0250600          29 4530.OS02T0250600-01         4530 Oryza sativa        OsJ_06090                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os02g0250600 protein; Putative late embryogenesis abundant domain-containing protein            Q0E2C9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                                 enolase          34 4530.OS03T0266200-01         4530 Oryza sativa  OS03T0266200-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Os03g0266200 protein; Enolase            Q0DT68                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [glycolytic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
